date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct,roc_10,momentum_20,williams_r_14,stoch_k_14,stoch_d_3,cci_20,bb_upper_20,bb_lower_20,bb_pctb_20,bb_width_20,hist_vol_20,atr_pct_14,macd_12_26,macd_signal_9,macd_hist,adx_14,ema_9,ema_21,obv,vwap_20,cmf_20,vol_zscore_20,supertrend_10_3,supertrend_10_3_dir,donchian_upper_20,donchian_lower_20,donchian_pos_20,range_pct,body_pct
2026-04-08,63MOONS,527.349976,552.099976,513.549988,547.400024,259739,,1.000000,,547.400024,547.400024,547.400024,547.400024,-0.851286,-0.851286,,,12.191836,0.878082,,,N/A,0,0,,,,-12.191836,87.808164,87.808164,,,,,,,,0.000000,0.000000,0.000000,,547.400024,547.400024,0.000000,537.683329,0.756163,,,-1.000000,552.099976,513.549988,0.878082,7.042380,52.010519
2026-04-09,63MOONS,549.700012,557.250000,535.500000,550.950012,210614,0.648518,0.895557,,549.175018,549.175018,549.175018,549.175018,-1.130550,-1.130550,0.420166,,28.965461,0.710345,,,N/A,0,0,,,,-14.416444,85.583556,86.695860,133.333333,554.195459,544.154577,0.676777,1.828357,,,0.283190,0.056638,0.226552,,548.110022,547.722751,210614.000000,542.258137,0.605946,-0.707107,,-1.000000,557.250000,513.549988,0.855836,3.947727,5.747126
2026-04-10,63MOONS,557.000000,567.799988,545.250000,549.700012,153639,-0.226881,0.738659,,549.350016,549.350016,549.350016,549.350016,-3.187738,-3.187738,1.098101,,47.893542,0.197340,,,N/A,0,0,,,,-33.364010,66.635990,80.009237,119.851781,552.951392,545.748641,0.548592,1.311141,9.826328,,0.402120,0.125734,0.276386,,548.428020,547.902502,56975.000000,545.210768,0.307709,-1.023729,,-1.000000,567.799988,513.549988,0.666360,4.102235,32.372469
2026-04-13,63MOONS,539.400024,577.099976,525.000000,568.700012,359077,3.456431,1.461045,,554.187515,554.187515,554.187515,554.187515,-1.455547,-1.455547,-1.873747,,16.122778,0.838772,,,N/A,0,0,,,,-13.217884,86.782116,79.667221,100.759174,573.759662,534.615368,0.870744,7.063366,30.547245,,2.006386,0.501865,1.504521,,552.482418,549.793184,416052.000000,549.492565,0.442795,1.300960,,-1.000000,577.099976,513.549988,0.867821,9.161240,56.238007
2026-04-15,63MOONS,581.000000,618.099976,581.000000,615.150024,364193,8.167753,1.351604,,566.380017,566.380017,566.380017,566.380017,-0.477261,-0.477261,2.162825,,7.951356,0.920486,,,N/A,0,0,,,,-2.821570,97.178430,83.532179,228.157829,623.480312,509.279722,0.927056,20.163245,59.998992,,6.945839,1.790659,5.155179,,565.015940,555.734715,780245.000000,564.429802,0.550431,1.027948,,-1.000000,618.099976,513.549988,0.971784,6.031045,92.048644
2026-04-16,63MOONS,636.049988,665.450012,625.000000,649.900024,502048,5.649028,1.628871,,586.880017,580.300018,580.300018,580.300018,-2.336763,-2.336763,3.397539,,38.442480,0.615575,18.724880,,N/A,0,0,6.010229,,,-10.236988,89.763012,91.241186,210.410225,665.498313,495.101724,0.908459,29.363533,55.231618,,13.508705,4.134269,9.374436,,581.992757,564.295198,1282293.000000,586.787022,0.463753,1.541428,,-1.000000,665.450012,513.549988,0.897630,6.224036,34.239882
2026-04-17,63MOONS,648.200012,664.900024,645.000000,662.700012,180994,1.969532,0.624024,,609.230017,592.071446,592.071446,592.071446,-0.413254,-0.413254,-0.261581,,11.055324,0.889447,20.283147,,N/A,0,0,7.811067,,,-1.810401,98.189599,95.043680,159.272062,691.714911,492.427981,0.854406,33.659271,50.436861,,19.517688,7.210952,12.306736,,598.134208,573.241090,1463287.000000,593.093792,0.491847,-0.876212,,-1.000000,665.450012,513.549988,0.981896,3.002871,72.864232
2026-04-20,63MOONS,671.000000,727.000000,665.049988,700.450012,612451,5.696393,1.853977,,639.380017,605.618767,605.618767,605.618767,-3.651993,-3.651993,1.252450,,42.857115,0.571429,27.424049,,N/A,0,0,10.242787,,,-12.438504,87.561496,91.838036,169.723531,725.549472,485.688062,0.895358,39.606007,48.275802,,27.014553,11.171673,15.842881,,618.597369,584.805538,2075738.000000,617.289636,0.410970,1.740545,,-1.000000,727.000000,513.549988,0.875615,8.844316,47.538348
2026-04-21,63MOONS,701.500000,780.000000,696.200012,727.950012,1625419,3.926047,3.427407,,671.230017,619.211127,619.211127,619.211127,-6.673075,-6.673075,0.149902,,62.112166,0.378878,28.002461,,N/A,0,0,11.733143,,,-19.534616,80.465384,88.738826,168.752094,757.906960,480.515295,0.892005,44.797590,44.727066,,34.774040,15.892146,18.881894,,640.467897,597.818672,3701157.000000,662.008558,0.162211,2.516010,,-1.000000,780.000000,513.549988,0.804654,11.511778,31.563265
2026-04-22,63MOONS,727.950012,739.250000,705.400024,711.099976,297829,-2.314724,0.652275,,690.420007,628.400012,628.400012,628.400012,-8.833336,-8.833336,0.000000,,33.382558,0.168389,15.597813,,N/A,0,0,10.950244,,,-25.858518,74.141482,80.722787,119.733994,771.496362,485.303662,0.788966,45.543077,52.442895,,39.112961,20.536309,18.576652,,654.594313,608.116972,3403328.000000,665.698789,0.108370,-0.365020,591.759329,1.000000,780.000000,513.549988,0.741415,4.760227,49.778578
