date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct,roc_10,momentum_20,williams_r_14,stoch_k_14,stoch_d_3,cci_20,bb_upper_20,bb_lower_20,bb_pctb_20,bb_width_20,hist_vol_20,atr_pct_14,macd_12_26,macd_signal_9,macd_hist,adx_14,ema_9,ema_21,obv,vwap_20,cmf_20,vol_zscore_20,supertrend_10_3,supertrend_10_3_dir,donchian_upper_20,donchian_lower_20,donchian_pos_20,range_pct,body_pct
2026-06-01,TCS,2284.000000,2335.000000,2280.000000,2297.399902,7505095,,1.000000,,2297.399902,2297.399902,2297.399902,2297.399902,-1.610283,-1.610283,,,68.363814,0.316362,,,N/A,0,0,,,,-68.363814,31.636186,31.636186,,,,,,,,0.000000,0.000000,0.000000,,2297.399902,2297.399902,0.000000,2304.133301,-0.367276,,,-1.000000,2335.000000,2280.000000,0.316362,2.394011,24.363459
2026-06-02,TCS,2320.000000,2457.399902,2316.199951,2446.899902,11306127,6.507356,1.202062,,2372.149902,2372.149902,2372.149902,2372.149902,-0.427281,-0.427281,0.983725,,7.436263,0.925637,,,N/A,0,0,,,,-5.918831,94.081169,62.858678,133.333333,2583.574830,2160.724975,0.676777,17.825596,,,11.925926,2.385185,9.540741,,2327.299902,2310.990811,11306127.000000,2365.859152,0.365111,0.707107,,-1.000000,2457.399902,2280.000000,0.940812,5.770565,89.872483
2026-06-03,TCS,2393.000000,2393.000000,2224.800049,2241.699951,15660062,-8.386120,1.362879,,2328.666585,2328.666585,2328.666585,2328.666585,-8.777568,-8.777568,-2.202783,,0.000000,0.100475,,,N/A,0,0,,,,-92.734345,7.265655,44.327670,-94.492306,2540.892494,2116.440677,0.295108,18.227247,167.178853,,4.764465,2.861041,1.903424,,2310.179912,2304.691642,-4353935.000000,2329.806847,-0.163759,1.021817,,-1.000000,2457.399902,2224.800049,0.072657,7.503232,89.952493
2026-06-04,TCS,2241.699951,2253.100098,2216.600098,2241.000000,4867263,-0.031224,0.494910,,2306.749939,2306.749939,2306.749939,2306.749939,-8.806052,-8.806052,0.000000,,31.233278,0.668490,,,N/A,0,0,,,,-89.867142,10.132858,37.159894,-113.102468,2500.945685,2112.554193,0.330712,16.837174,118.505964,,-0.956498,2.097533,-3.054032,,2296.343930,2298.901493,-9221198.000000,2318.311716,-0.101804,-1.057427,,-1.000000,2457.399902,2216.600098,0.101329,1.628737,1.917674
2026-06-05,TCS,2262.899902,2271.800049,2192.000000,2198.899902,5019717,-1.878630,0.565815,,2285.179932,2285.179932,2285.179932,2285.179932,-10.519248,-10.519248,0.977238,,11.153059,0.086465,,,N/A,0,0,,,,-97.400187,2.599813,6.666109,-97.767701,2479.059521,2091.300342,0.277491,16.968431,97.260571,,-8.786247,-0.079223,-8.707024,,2276.855124,2289.810439,-14240915.000000,2307.288306,-0.183877,-0.836838,,-1.000000,2457.399902,2192.000000,0.025998,3.629090,80.200452
2026-06-08,TCS,2170.000000,2177.000000,2143.300049,2151.399902,6536734,-2.160171,0.770614,,2255.979932,2262.883260,2262.883260,2262.883260,-12.452186,-12.452186,-1.314289,,20.771543,0.240352,-6.355010,,N/A,0,0,-1.502422,,,-97.421249,2.578751,5.103808,-127.193083,2467.829189,2057.937332,0.228018,18.113699,84.669198,,-18.609711,-3.785320,-14.824390,,2251.764080,2277.227663,-20777649.000000,2288.015891,-0.226957,-0.460435,,-1.000000,2457.399902,2143.300049,0.025788,1.566420,55.193248
2026-06-09,TCS,2174.000000,2174.000000,2132.800049,2151.000000,4148655,-0.018588,0.527592,,2196.799951,2246.899937,2246.899937,2246.899937,-12.468459,-12.468459,1.050483,,0.000000,0.441747,-12.092849,,N/A,0,0,-5.280019,,,-94.393112,5.606888,3.595151,-103.185364,2452.217804,2041.582070,0.266460,18.275657,76.109837,,-26.125981,-8.253452,-17.872529,,2231.611264,2265.752421,-24926304.000000,2277.809560,-0.218632,-0.886338,,-1.000000,2457.399902,2132.800049,0.056069,1.915386,55.825309
2026-06-10,TCS,2151.300049,2180.800049,2144.800049,2153.899902,2848650,0.134816,0.393648,,2179.239941,2235.274933,2235.274933,2235.274933,-12.350452,-12.350452,0.013949,,74.722629,0.252774,-3.916673,,N/A,0,0,-4.010521,,,-93.499734,6.500266,4.895302,-81.132062,2436.415993,2034.133873,0.297717,17.996986,69.808123,,-31.485734,-12.899909,-18.585825,,2216.068992,2255.584010,-22077654.000000,2272.004419,-0.232204,-1.028555,,-1.000000,2457.399902,2132.800049,0.065003,1.671387,7.221815
2026-06-11,TCS,2127.000000,2154.600098,2110.000000,2135.600098,3079815,-0.849613,0.454607,,2158.159961,2224.199951,2224.199951,2224.199951,-13.095134,-13.095134,-1.248893,,42.600804,0.573992,-4.703253,,N/A,0,0,-3.578628,,,-92.630943,7.369057,6.492070,-91.295099,2423.739667,2024.660236,0.277989,17.942606,64.629829,,-36.785972,-17.677122,-19.108851,,2199.975213,2244.676382,-25157469.000000,2265.003255,-0.213000,-0.874680,,-1.000000,2457.399902,2110.000000,0.073691,2.088411,19.282688
2026-06-12,TCS,2150.000000,2168.000000,2138.000000,2161.399902,2124656,1.208082,0.336730,,2150.659961,2217.919946,2217.919946,2217.919946,-12.045252,-12.045252,0.674279,,22.000326,0.779997,-1.705398,,N/A,0,0,-2.943312,,,-85.204399,14.795601,9.554975,-63.215181,2410.194816,2025.645076,0.353023,17.338306,61.414951,,-38.461263,-21.833950,-16.627313,,2192.260151,2237.105793,-23032813.000000,2261.326056,-0.186971,-0.985767,1966.124528,1.000000,2457.399902,2110.000000,0.147956,1.387989,37.999674
