date,symbol,open,high,low,close,volume,pct_change,vol_ratio_20d,rsi_wilder_14,ma5,ma20,ma50,ma200,dist_52wH_pct,dist_20dH_pct,gap_pct,atr_14,upper_shadow_pct,close_position_in_range,return_5d,return_20d,ut1_state,hh_count,hl_count,ma20_slope_pct,roc_10,momentum_20,williams_r_14,stoch_k_14,stoch_d_3,cci_20,bb_upper_20,bb_lower_20,bb_pctb_20,bb_width_20,hist_vol_20,atr_pct_14,macd_12_26,macd_signal_9,macd_hist,adx_14,ema_9,ema_21,obv,vwap_20,cmf_20,vol_zscore_20,supertrend_10_3,supertrend_10_3_dir,donchian_upper_20,donchian_lower_20,donchian_pos_20,range_pct,body_pct
2026-06-01,HAL,4303.799805,4340.000000,4233.200195,4254.100098,707271,-1.154787,0.476097,40.694775,4362.320020,4485.575000,4226.065991,4407.715504,-17.347968,-12.038123,0.000000,111.439429,33.895376,0.195692,-3.881692,-6.698101,SIDEWAYS,2,1,-0.131915,-1.673406,-305.399902,-87.515769,12.484231,23.458535,-77.280557,4823.766331,4147.383669,0.157775,15.079063,28.745244,2.619577,1.629661,38.295083,-36.665422,17.890350,4367.612756,4393.049404,15024614.000000,4498.204637,-0.165536,-0.771309,4610.292154,-1.0,4836.299805,4175.000000,0.119613,2.510515,46.535391
2026-06-02,HAL,4210.000000,4300.000000,4177.000000,4278.500000,1251023,0.573562,0.848564,42.765599,4332.479981,4468.980005,4232.403989,4406.905004,-16.873907,-11.533607,-1.036649,112.265184,17.479675,0.825203,-3.369700,-7.198940,SIDEWAYS,2,1,-0.596888,-1.262351,-331.899902,-83.664775,16.335225,16.382568,-82.039939,4813.887151,4124.072859,0.223868,15.435609,28.445959,2.623938,-6.903770,29.255312,-36.159083,18.343933,4349.790205,4382.635822,16275637.000000,4482.288263,-0.142453,-0.220959,4566.722851,-1.0,4836.299805,4175.000000,0.156510,2.874839,55.691057
2026-06-03,HAL,4295.500000,4296.799805,4209.600098,4264.100098,1122282,-0.336564,0.752399,41.837128,4302.700000,4450.840015,4241.635991,4406.001005,-17.153680,-11.831353,0.397336,110.474793,1.490607,0.625002,-3.374120,-7.841099,SIDEWAYS,2,1,-1.067931,-1.442272,-362.799804,-79.887111,20.112889,16.310781,-75.902188,4798.923598,4102.756432,0.231760,15.641253,28.320882,2.590811,-14.659542,20.472341,-35.131884,18.765117,4332.652183,4371.859847,15153355.000000,4469.805654,-0.119679,-0.369052,4566.722851,-1.0,4836.299805,4175.000000,0.134735,2.044973,36.009183
2026-06-04,HAL,4260.000000,4297.000000,4176.100098,4191.000000,718095,-1.714315,0.501096,37.398298,4258.300000,4421.285010,4249.807993,4404.909005,-18.573927,-13.342841,-0.096154,111.219443,30.603830,0.123242,-5.030591,-12.360680,SIDEWAYS,1,1,-1.805847,-4.104885,-591.100098,-94.648829,5.351171,13.933095,-83.784314,4750.825035,4091.744985,0.150596,14.906979,24.941178,2.653769,-26.400288,11.097816,-37.498104,19.400572,4304.321747,4355.418043,14435260.000000,4446.074090,-0.198451,-0.707553,4562.224450,-1.0,4836.299805,4175.000000,0.024195,2.884751,57.072007
2026-06-05,HAL,4219.000000,4262.500000,4205.299805,4216.899902,492608,0.617989,0.358535,39.833992,4240.920020,4392.725000,4261.453989,4403.371505,-18.070723,-12.305041,0.668098,108.382340,76.048692,0.202798,-2.019144,-11.929579,SIDEWAYS,1,1,-2.402215,-3.468089,-571.200196,-86.304190,13.695810,13.053290,-74.838074,4685.350308,4100.099691,0.199573,13.323179,25.203019,2.570190,-33.231931,2.231866,-35.463797,19.990636,4286.837378,4342.825485,14927868.000000,4421.464506,-0.221715,-0.855696,4548.456863,-1.0,4808.600098,4175.000000,0.066130,1.356451,3.671487
2026-06-08,HAL,4166.600098,4285.000000,4148.799805,4238.000000,719608,0.500370,0.533445,41.820001,4237.700000,4366.810010,4273.133989,4401.786005,-17.660773,-11.866241,-1.192815,110.369330,34.508027,0.654920,-0.378461,-10.897122,SIDEWAYS,1,1,-2.647709,-4.245462,-518.299805,-72.570682,27.429318,15.492099,-69.314969,4611.785590,4121.834430,0.237096,11.219887,25.513612,2.604279,-36.522448,-5.518997,-31.003451,20.957895,4277.069902,4333.295895,15647476.000000,4400.532662,-0.194176,-0.605211,4540.861226,-1.0,4808.600098,4148.799805,0.135193,3.213785,52.422760
2026-06-09,HAL,4238.000000,4271.899902,4188.000000,4263.799805,662719,0.608773,0.508720,44.243497,4234.759961,4351.375000,4285.021987,4400.533505,-17.159514,-11.329707,0.000000,108.478656,9.654477,0.903455,-0.343583,-6.751234,SIDEWAYS,1,1,-2.631585,-3.701705,-308.700195,-64.637168,35.362832,25.495987,-53.728456,4580.147401,4122.602599,0.308598,10.514948,22.611923,2.544178,-36.626174,-11.740432,-24.885742,21.856064,4274.415883,4326.978069,16310195.000000,4382.830212,-0.130187,-0.609947,4540.861226,-1.0,4808.600098,4148.799805,0.174295,1.967726,30.750697
2026-06-10,HAL,4284.500000,4321.000000,4197.600098,4219.200195,674281,-1.046006,0.526049,41.059440,4225.779980,4331.410010,4297.633989,4399.366505,-18.026031,-12.257204,0.485487,109.544460,29.578630,0.175041,-1.052975,-8.645660,SIDEWAYS,1,1,-2.683314,-4.391566,-399.299805,-78.351677,21.648323,28.146825,-43.718111,4529.687992,4133.132027,0.217039,9.155355,22.161661,2.596332,-39.847852,-17.361916,-22.485936,21.968900,4263.372745,4317.180080,15635914.000000,4369.299826,-0.151686,-0.574299,4540.861226,-1.0,4808.600098,4148.799805,0.106700,2.924723,52.917226
2026-06-11,HAL,4185.000000,4223.399902,4160.000000,4172.299805,555963,-1.111594,0.484497,37.965244,4222.039941,4309.625000,4311.335986,4397.886005,-18.937249,-9.651368,-0.810585,106.248420,60.567762,0.194004,-0.446199,-9.455299,SIDEWAYS,1,1,-2.525510,-5.454344,-435.700195,-92.773682,7.226318,21.412491,-62.251816,4472.535730,4146.714270,0.078526,7.560320,22.270254,2.546519,-45.659194,-23.021372,-22.637822,22.394675,4245.158157,4304.009146,15079951.000000,4324.506281,-0.108058,-0.614862,4500.593376,-1.0,4618.000000,4148.799805,0.050085,1.519543,20.031884
2026-06-12,HAL,4216.000000,4224.000000,4166.500000,4192.299805,693290,0.479352,0.646683,40.040312,4217.119922,4299.929980,4321.765981,4396.477504,-18.548673,-6.296383,1.047389,102.766390,13.913043,0.448692,-0.583369,-4.420692,SIDEWAYS,1,1,-2.112470,-2.590734,-193.900390,-86.623624,13.376376,14.083672,-50.203782,4466.686106,4133.173855,0.177283,7.756225,15.535843,2.451313,-48.096465,-28.036390,-20.060075,22.780829,4234.586487,4293.853751,15773241.000000,4306.578784,-0.029699,-0.405645,4490.504082,-1.0,4474.000000,4148.799805,0.133764,1.371562,41.217730
