Date,Rank,Symbol,Previous Close (₹),Current Close (₹),Daily Gain (%),Volume,Value Traded (₹ Cr)
2026-03-20,1,GMDCLTD,534.15,575.70,7.78,"32,107,235",1848.41
2026-03-20,2,OLAELEC,23.48,24.66,5.03,"51,124,656",126.07
2026-03-20,3,JAYNECOIND,70.15,74.24,5.83,"6,742,536",50.06
2026-03-20,4,GOCOLORS,257.15,275.40,7.10,"495,661",13.65
2026-03-24,1,INDIGO,3945.30,4150.80,5.21,"2,152,981",893.66
2026-03-24,2,AEROFLEX,223.29,252.09,12.90,"7,289,255",183.75
2026-03-24,3,FORCEMOT,20395.00,21485.00,5.34,"77,009",165.45
2026-03-24,4,APOLLO,188.72,199.73,5.83,"6,923,872",138.29
2026-03-24,5,PARAS,584.60,619.40,5.95,"954,122",59.10
2026-03-25,1,KAYNES,3514.30,3717.90,5.79,"2,875,320",1069.02
2026-03-25,2,MUTHOOTFIN,3128.74,3292.36,5.23,"1,080,479",355.73
2026-03-25,3,KALYANKJIL,371.70,391.85,5.42,"7,261,892",284.56
2026-03-25,4,RPOWER,21.40,22.67,5.93,"95,720,941",217.00
2026-03-25,5,STLTECH,180.02,192.63,7.00,"8,319,577",160.26
2026-03-25,6,MOTILALOFS,649.55,684.20,5.33,"2,005,042",137.18
2026-03-25,7,LLOYDSENGG,39.04,41.88,7.27,"23,357,988",97.82
2026-03-27,1,APARINDS,10014.00,10608.00,5.93,"312,781",331.80
2026-04-01,1,GRSE,1972.80,2359.30,19.59,"9,291,894",2192.24
2026-04-01,2,INDIGO,3943.50,4180.80,6.02,"4,361,610",1823.50
2026-04-01,3,COCHINSHIP,1193.10,1338.60,12.20,"8,012,279",1072.52
2026-04-01,4,HAL,3487.20,3670.80,5.26,"2,246,768",824.74
2026-04-01,5,OLAELEC,22.80,25.89,13.55,"247,154,058",639.88
2026-04-01,6,TRENT,2193.96,2347.53,7.00,"2,443,438",573.60
2026-04-01,7,BDL,1096.60,1203.90,9.78,"4,217,920",507.80
2026-04-01,8,FORCEMOT,19405.00,20733.00,6.84,"96,925",200.95
2026-04-01,9,RPOWER,20.36,22.35,9.77,"78,570,171",175.60
2026-04-01,10,APOLLO,182.16,195.77,7.47,"8,336,691",163.21
2026-04-02,1,OLAELEC,25.89,28.34,9.46,"456,246,744",1293.00
2026-04-02,2,COFORGE,1153.90,1213.40,5.16,"6,403,645",777.02
2026-04-02,3,JAYNECOIND,75.01,78.99,5.31,"6,890,440",54.43
2026-04-06,1,TRENT,2363.57,2551.96,7.97,"7,316,710",1867.20
2026-04-06,2,KALYANKJIL,394.35,420.35,6.59,"12,249,798",514.92
2026-04-06,3,NEULANDLAB,12433.00,13222.00,6.35,"161,018",212.90
2026-04-06,4,STLTECH,177.83,188.35,5.92,"7,839,068",147.65
2026-04-08,1,ICICIBANK,1245.50,1309.20,5.11,"25,148,651",3292.46
2026-04-08,2,INDIGO,4268.80,4615.50,8.12,"5,538,528",2556.31
2026-04-08,3,MARUTI,12798.00,13602.00,6.28,"1,026,292",1395.96
2026-04-08,4,M&M,3006.60,3210.10,6.77,"4,227,961",1357.22
2026-04-08,5,FORCEMOT,19920.00,22075.00,10.82,"380,174",839.23
2026-04-08,6,GRSE,2305.30,2477.40,7.47,"3,031,579",751.04
2026-04-08,7,EICHERMOT,6605.50,7131.00,7.96,"917,337",654.15
2026-04-08,8,KALYANKJIL,414.35,445.55,7.53,"10,391,357",462.99
2026-04-08,9,MUTHOOTFIN,3214.22,3473.93,8.08,"1,290,282",448.23
2026-04-08,10,BAJAJFINSV,1684.40,1784.60,5.95,"2,059,323",367.51
2026-04-09,1,OLAELEC,30.27,36.32,19.99,"786,402,928",2856.22
2026-04-09,2,APOLLO,208.05,232.52,11.76,"50,987,271",1185.56
2026-04-09,3,ATHERENERG,770.70,820.25,6.43,"8,948,018",733.96
2026-04-09,4,HFCL,75.17,79.61,5.91,"77,596,073",617.74
2026-04-09,5,STLTECH,200.51,220.56,10.00,"14,142,781",311.93
