entry_date,symbol,pattern,entry_price,stop_price,target_price,shares,invested_rs,exit_date,exit_price,exit_reason,pnl_rs,pnl_pct,sessions_held,signal_date
2026-06-19,63MOONS,R-80,668.9,628.77,749.17,149,99666.1,2026-07-03,657.9,TIME_EXIT,-1639.0,-1.64,10,2026-06-18
2026-07-07,63MOONS,R-80,710.9,668.25,796.21,140,99526.0,2026-07-08,668.25,STOP_OUT,-5971.0,-6.0,1,2026-07-06
2026-06-01,ABDL,R-80,567.65,533.59,635.77,176,99906.4,2026-06-12,635.77,TARGET_HIT,11989.12,12.0,9,2026-05-29
2026-06-16,ABDL,R-80,629.5,591.73,705.04,158,99461.0,2026-06-30,667.9,TIME_EXIT,6067.2,6.1,10,2026-06-15
2026-07-09,ABDL,R-80,670.0,629.8,750.4,149,99830.0,2026-07-09,668.05,TIME_EXIT,-290.55,-0.29,0,2026-07-07
2026-07-06,ACC,R-80,1400.4,1316.38,1568.45,71,99428.4,2026-07-09,1342.0,TIME_EXIT,-4146.4,-4.17,3,2026-07-03
2026-05-25,ADANIENSOL,R-80,1381.2,1298.33,1546.94,72,99446.4,2026-05-27,1546.94,TARGET_HIT,11933.28,12.0,2,2026-05-22
2026-06-03,ADANIENSOL,R-80,1531.5,1439.61,1715.28,65,99547.5,2026-06-17,1491.0,TIME_EXIT,-2632.5,-2.64,10,2026-06-02
2026-06-19,ADANIENSOL,R-80,1530.0,1438.2,1713.6,65,99450.0,2026-07-03,1568.8,TIME_EXIT,2522.0,2.54,10,2026-06-18
2026-07-07,ADANIENSOL,R-80,1637.7,1539.44,1834.22,61,99899.7,2026-07-09,1656.0,TIME_EXIT,1116.3,1.12,2,2026-07-06
2026-06-17,ADANIENT,R-80,2958.0,2780.52,3312.96,33,97614.0,2026-07-01,3143.6,TIME_EXIT,6124.8,6.27,10,2026-06-16
2026-07-03,ADANIENT,R-80,3192.0,3000.48,3575.04,31,98952.0,2026-07-09,3064.2,TIME_EXIT,-3961.8,-4.0,4,2026-07-02
2026-05-18,ADANIGREEN,R-80,1374.9,1292.41,1539.89,72,98992.8,2026-06-01,1446.9,TIME_EXIT,5184.0,5.24,10,2026-05-15
2026-06-09,ADANIGREEN,R-80,1518.8,1427.67,1701.06,65,98722.0,2026-06-23,1511.2,TIME_EXIT,-494.01,-0.5,10,2026-06-08
