entry_date,symbol,pattern,entry_price,stop_price,target_price,shares,invested_rs,exit_date,exit_price,exit_reason,pnl_rs,pnl_pct,sessions_held,signal_date
2026-07-09,ADANIENT,RM-12,3060.0,2876.4,3427.2,32,97920.0,2026-07-09,3064.2,TIME_EXIT,134.4,0.14,0,2026-07-08
2026-07-09,ADANIGREEN,RM-12,1514.3,1423.44,1696.02,66,99943.8,2026-07-09,1510.0,TIME_EXIT,-283.8,-0.28,0,2026-07-08
2026-07-03,AEGISVOPAK,RM-12,237.0,222.78,265.44,421,99777.0,2026-07-06,265.44,TARGET_HIT,11973.24,12.0,1,2026-07-02
2026-07-03,AEQUS,RM-12,232.0,218.08,259.84,431,99992.0,2026-07-08,259.84,TARGET_HIT,11999.04,12.0,3,2026-07-02
2026-07-03,AEROFLEX,RM-12,480.0,451.2,537.6,208,99840.0,2026-07-07,451.2,STOP_OUT,-5990.4,-6.0,2,2026-07-02
2026-07-03,APARINDS,RM-12,15170.0,14259.8,16990.4,6,91020.0,2026-07-06,14259.8,STOP_OUT,-5461.2,-6.0,1,2026-07-02
2026-07-07,APOLLO,RM-12,427.0,401.38,478.24,234,99918.0,2026-07-08,401.38,STOP_OUT,-5995.08,-6.0,1,2026-07-06
2026-07-03,BBOX,RM-12,966.7,908.7,1082.7,103,99570.1,2026-07-09,949.6,TIME_EXIT,-1761.3,-1.77,4,2026-07-02
2026-07-07,BLUSPRING,RM-12,117.9,110.83,132.05,848,99979.2,2026-07-09,110.83,STOP_OUT,-5995.36,-6.0,2,2026-07-06
2026-07-09,CDSL,RM-12,1316.0,1237.04,1473.92,75,98700.0,2026-07-09,1346.4,TIME_EXIT,2280.0,2.31,0,2026-07-08
2026-07-09,CEIGALL,RM-12,373.0,350.62,417.76,268,99964.0,2026-07-09,368.45,TIME_EXIT,-1219.4,-1.22,0,2026-07-07
2026-07-09,CHENNPETRO,RM-12,1124.0,1056.56,1258.88,88,98912.0,2026-07-09,1136.1,TIME_EXIT,1064.8,1.08,0,2026-07-08
2026-07-03,COFORGE,RM-12,1460.4,1372.78,1635.65,68,99307.2,2026-07-09,1471.2,TIME_EXIT,734.4,0.74,4,2026-07-02
2026-07-07,COMSYN,RM-12,190.5,179.07,213.36,524,99822.0,2026-07-09,191.59,TIME_EXIT,571.16,0.57,2,2026-07-06
2026-07-03,CYIENTDLM,RM-12,480.1,451.29,537.71,208,99860.8,2026-07-07,537.71,TARGET_HIT,11982.88,12.0,2,2026-07-02
2026-07-09,DHANBANK,RM-12,33.32,31.32,37.32,3001,99993.32,2026-07-09,33.87,TIME_EXIT,1650.55,1.65,0,2026-07-08
2026-07-06,DIACABS,RM-12,213.0,200.22,238.56,469,99897.0,2026-07-08,238.56,TARGET_HIT,11987.64,12.0,2,2026-07-03
2026-07-07,EDELWEISS,RM-12,126.11,118.54,141.24,792,99879.12,2026-07-08,118.54,STOP_OUT,-5995.44,-6.0,1,2026-07-06
2026-07-03,EICHERMOT,RM-12,7380.0,6937.2,8265.6,13,95940.0,2026-07-09,7373.0,TIME_EXIT,-91.0,-0.09,4,2026-07-02
2026-07-09,FILATEX,RM-12,58.34,54.84,65.34,1714,99994.76,2026-07-09,60.94,TIME_EXIT,4456.4,4.46,0,2026-07-07
2026-07-06,GOLDIAM,RM-12,484.8,455.71,542.98,206,99868.8,2026-07-07,455.71,STOP_OUT,-5992.54,-6.0,1,2026-07-03
2026-07-03,HFCL,RM-12,205.43,193.1,230.08,486,99838.98,2026-07-09,211.59,TIME_EXIT,2993.76,3.0,4,2026-07-02
2026-07-03,IIFL,RM-12,521.0,489.74,583.52,191,99511.0,2026-07-09,538.65,TIME_EXIT,3371.15,3.39,4,2026-07-02
2026-07-09,INDIGO,RM-12,5124.0,4816.56,5738.88,19,97356.0,2026-07-09,5231.5,TIME_EXIT,2042.5,2.1,0,2026-07-08
2026-07-09,INTELLECT,RM-12,750.3,705.28,840.34,133,99789.9,2026-07-09,747.75,TIME_EXIT,-339.15,-0.34,0,2026-07-08
