sym,pattern,entry_date,entry_price,shares,invested_rs,exit_date,exit_price,exit_reason,pnl_rs,pnl_pct
SCHNEIDER,RM-4,2026-05-20,1230.0,81,99630.0,2026-05-26,1377.6,TARGET_HIT,11955.6,12.0
SPECTRUM,RM-4,2026-05-26,1429.9,69,98663.1,2026-06-03,1601.49,TARGET_HIT,11839.57,12.0
ARTEMISMED,RM-4,2026-05-29,280.06,357,99981.42,2026-06-02,263.26,STOP_OUT,-5998.89,-6.0
GOCOLORS,RM-4,2026-06-02,323.45,309,99946.05,2026-06-03,362.26,TARGET_HIT,11993.53,12.0
SUVEN,RM-4,2026-06-10,264.75,377,99810.75,2026-06-24,254.7,TIME_EXIT,-3788.85,-3.8
FERMENTA,RM-4,2026-06-12,335.0,298,99830.0,2026-06-25,375.2,TARGET_HIT,11979.6,12.0
DECNGOLD,RM-4,2026-06-15,168.0,595,99960.0,2026-06-16,188.16,TARGET_HIT,11995.2,12.0
NETWEB,RM-4,2026-06-15,4700.0,21,98700.0,2026-06-29,4418.0,STOP_OUT,-5922.0,-6.0
DATAPATTNS,RM-4,2026-06-16,4444.0,22,97768.0,2026-06-30,4501.8,TIME_EXIT,1271.6,1.3
SANSERA,RM-4,2026-06-17,2861.5,34,97291.0,2026-06-25,3204.88,TARGET_HIT,11674.92,12.0
INDOFARM,RM-4,2026-07-01,148.0,675,99900.0,2026-07-03,165.76,TARGET_HIT,11988.0,12.0
SCHNEIDER,RM-4,2026-07-01,1385.7,72,99770.4,2026-07-09,1501.5,TIME_EXIT,8337.6,8.36
CYIENTDLM,RM-12,2026-07-03,480.1,208,99860.8,2026-07-07,537.71,TARGET_HIT,11983.3,12.0
AEQUS,RM-12,2026-07-03,232.0,431,99992.0,2026-07-08,259.84,TARGET_HIT,11999.04,12.0
HFCL,RM-12,2026-07-03,205.43,486,99838.98,2026-07-09,211.59,TIME_EXIT,2993.76,3.0
IOLCP,RM-12,2026-07-06,143.7,695,99871.5,2026-07-07,160.94,TARGET_HIT,11984.58,12.0
JNKINDIA,RM-12,2026-07-08,484.0,206,99704.0,2026-07-09,471.0,TIME_EXIT,-2678.0,-2.69
MUNJALAU,RM-12,2026-07-08,102.1,979,99955.9,2026-07-09,101.53,TIME_EXIT,-558.03,-0.56
