sym,pattern,signal_date,entry_date,entry_price,sig_idx,skip_reason,concurrent_at_signal
SCHNEIDER,RM-4,2026-05-20,2026-05-21,1343.0,29,SAME_SYMBOL_OPEN,
SPECTRUM,RM-4,2026-05-27,2026-05-28,1451.0,33,SAME_SYMBOL_OPEN,
SPECTRUM,RM-4,2026-06-01,2026-06-02,1428.400024,36,SAME_SYMBOL_OPEN,
SPECTRUM,RM-4,2026-06-17,2026-06-18,1669.199951,48,POOL_FULL,5.0
ADANIENT,R-80,2026-07-02,2026-07-03,3192.0,60,POOL_FULL,5.0
ADANIPORTS,R-80,2026-07-02,2026-07-03,1885.0,60,POOL_FULL,5.0
DIXON,R-80,2026-07-02,2026-07-03,12470.0,60,POOL_FULL,5.0
ETERNAL,R-80,2026-07-02,2026-07-03,281.950012,60,POOL_FULL,5.0
INDHOTEL,R-80,2026-07-02,2026-07-03,725.049988,60,POOL_FULL,5.0
J&KBANK,R-80,2026-07-02,2026-07-03,165.899994,60,POOL_FULL,5.0
JAMNAAUTO,R-80,2026-07-02,2026-07-03,139.899994,60,POOL_FULL,5.0
LODHA,R-80,2026-07-02,2026-07-03,1015.0,60,POOL_FULL,5.0
PARADEEP,R-80,2026-07-02,2026-07-03,141.509995,60,POOL_FULL,5.0
TITAN,R-80,2026-07-02,2026-07-03,4495.0,60,POOL_FULL,5.0
IOLCP,RM-12,2026-07-03,2026-07-06,143.699997,61,POOL_FULL,5.0
MUNJALAU,RM-12,2026-07-03,2026-07-06,99.389999,60,POOL_FULL,5.0
PANSARI,RM-12,2026-07-03,2026-07-06,317.049988,60,POOL_FULL,5.0
RKSWAMY,RM-12,2026-07-03,2026-07-06,106.220001,60,POOL_FULL,5.0
SYRMA,RM-12,2026-07-03,2026-07-06,1379.0,61,POOL_FULL,5.0
WELCORP,RM-12,2026-07-03,2026-07-06,1425.0,61,POOL_FULL,5.0
ADANIENT,R-80,2026-07-03,2026-07-06,3230.0,61,POOL_FULL,5.0
EXIDEIND,R-80,2026-07-03,2026-07-06,416.299988,61,POOL_FULL,5.0
FILATEX,R-80,2026-07-03,2026-07-06,56.0,60,POOL_FULL,5.0
INDHOTEL,R-80,2026-07-03,2026-07-06,730.0,61,POOL_FULL,5.0
J&KBANK,R-80,2026-07-03,2026-07-06,165.009995,61,POOL_FULL,5.0
RKSWAMY,RM-12,2026-07-06,2026-07-07,107.269997,61,POOL_FULL,5.0
ADANIENSOL,R-80,2026-07-06,2026-07-07,1637.699951,62,SAME_SYMBOL_OPEN,
ADANIENT,R-80,2026-07-06,2026-07-07,3209.899902,62,POOL_FULL,5.0
GANESHHOU,R-80,2026-07-06,2026-07-07,835.049988,62,POOL_FULL,5.0
MUNJALAU,RM-12,2026-07-07,2026-07-08,102.099998,62,POOL_FULL,5.0
RAYMONDREL,RM-12,2026-07-07,2026-07-08,667.400024,63,POOL_FULL,5.0
PGEL,R-80,2026-07-07,2026-07-08,573.799988,63,POOL_FULL,5.0
TAJGVK,R-80,2026-07-07,2026-07-08,360.0,63,POOL_FULL,5.0
LLOYDSENGG,RM-4,2026-07-07,2026-07-09,82.379997,63,NO_FORWARD_DATA,
LTF,RM-4,2026-07-08,2026-07-09,314.75,64,NO_FORWARD_DATA,
RAYMONDREL,RM-4,2026-07-08,2026-07-09,676.0,64,NO_FORWARD_DATA,
CEIGALL,RM-12,2026-07-07,2026-07-09,373.0,62,NO_FORWARD_DATA,
RITES,RM-12,2026-07-08,2026-07-09,223.0,64,NO_FORWARD_DATA,
RKSWAMY,RM-12,2026-07-07,2026-07-09,103.660004,62,NO_FORWARD_DATA,
SPECTRUM,RM-12,2026-07-07,2026-07-09,1889.800049,62,NO_FORWARD_DATA,
TANLA,RM-12,2026-07-08,2026-07-09,526.0,64,NO_FORWARD_DATA,
DIXON,R-80,2026-07-07,2026-07-09,13153.0,63,NO_FORWARD_DATA,
EXIDEIND,R-80,2026-07-08,2026-07-09,426.0,64,NO_FORWARD_DATA,
TITAN,R-80,2026-07-07,2026-07-09,4614.799805,63,NO_FORWARD_DATA,
