pattern,sym,entry_date,entry,shares,invested_rs,exit_price,exit_reason,pnl_rs,pnl_pct
R-80,ADANIENSOL,2026-07-03,1562.0,64,99968.0,1656.0,TIME_EXIT,6016.0,6.02
R-80,ADANIENT,2026-07-03,3192.0,31,98952.0,3064.2,TIME_EXIT,-3961.8,-4.0
R-80,ADANIPORTS,2026-07-03,1885.0,53,99905.0,1815.0,TIME_EXIT,-3710.0,-3.71
R-80,DIXON,2026-07-03,12470.0,8,99760.0,13549.0,TIME_EXIT,8632.0,8.65
R-80,ETERNAL,2026-07-03,281.95,354,99810.3,293.0,TIME_EXIT,3911.7,3.92
R-80,EXIDEIND,2026-07-06,416.3,240,99912.0,420.15,TIME_EXIT,924.0,0.92
R-80,FILATEX,2026-07-06,56.0,1785,99960.0,60.94,TIME_EXIT,8817.9,8.82
R-80,GANESHHOU,2026-07-07,835.05,119,99370.95,865.45,TIME_EXIT,3617.6,3.64
R-80,INDHOTEL,2026-07-03,725.05,137,99331.85,734.0,TIME_EXIT,1226.15,1.23
R-80,J&KBANK,2026-07-03,165.9,602,99871.8,167.15,TIME_EXIT,752.5,0.75
R-80,JAMNAAUTO,2026-07-03,139.9,714,99888.6,135.01,TIME_EXIT,-3491.46,-3.5
R-80,LODHA,2026-07-03,1015.0,98,99470.0,1136.8,TARGET_HIT,11936.4,12.0
R-80,PARADEEP,2026-07-03,141.51,706,99906.06,141.86,TIME_EXIT,247.1,0.25
R-80,PGEL,2026-07-08,573.8,174,99841.2,578.55,TIME_EXIT,826.5,0.83
R-80,TAJGVK,2026-07-08,360.0,277,99720.0,362.55,TIME_EXIT,706.35,0.71
R-80,TITAN,2026-07-03,4495.0,22,98890.0,4564.8,TIME_EXIT,1535.6,1.55
RM-4,ARTEMISMED,2026-05-29,280.06,357,99981.42,263.26,STOP_OUT,-5998.89,-6.0
RM-4,AVG,2026-06-24,179.4,557,99925.8,200.93,TARGET_HIT,11991.1,12.0
RM-4,DATAPATTNS,2026-06-16,4444.0,22,97768.0,4501.8,TIME_EXIT,1271.6,1.3
RM-4,DECNGOLD,2026-06-15,168.0,595,99960.0,188.16,TARGET_HIT,11995.2,12.0
RM-4,FERMENTA,2026-06-12,335.0,298,99830.0,375.2,TARGET_HIT,11979.6,12.0
RM-4,GOCOLORS,2026-06-02,323.45,309,99946.05,362.26,TARGET_HIT,11993.53,12.0
RM-4,INDOFARM,2026-07-01,148.0,675,99900.0,165.76,TARGET_HIT,11988.0,12.0
RM-4,NETWEB,2026-06-15,4700.0,21,98700.0,4418.0,STOP_OUT,-5922.0,-6.0
RM-4,SANSERA,2026-06-17,2861.5,34,97291.0,3204.88,TARGET_HIT,11674.92,12.0
RM-4,SCHNEIDER,2026-05-20,1230.0,81,99630.0,1377.6,TARGET_HIT,11955.6,12.0
RM-4,SCHNEIDER,2026-07-01,1385.7,72,99770.4,1501.5,TIME_EXIT,8337.6,8.36
RM-4,SHIVAUM,2026-07-07,400.0,250,100000.0,435.0,TIME_EXIT,8750.0,8.75
RM-4,SPECTRUM,2026-05-26,1429.9,69,98663.1,1601.49,TARGET_HIT,11839.57,12.0
RM-4,SPECTRUM,2026-06-18,1669.2,59,98482.8,1869.5,TARGET_HIT,11817.94,12.0
RM-4,SUVEN,2026-06-10,264.75,377,99810.75,254.7,TIME_EXIT,-3788.85,-3.8
RM-12,AEQUS,2026-07-03,232.0,431,99992.0,259.84,TARGET_HIT,11999.04,12.0
RM-12,CYIENTDLM,2026-07-03,480.1,208,99860.8,537.71,TARGET_HIT,11983.3,12.0
RM-12,HFCL,2026-07-03,205.43,486,99838.98,211.59,TIME_EXIT,2993.76,3.0
RM-12,IOLCP,2026-07-06,143.7,695,99871.5,160.94,TARGET_HIT,11984.58,12.0
RM-12,JNKINDIA,2026-07-08,484.0,206,99704.0,471.0,TIME_EXIT,-2678.0,-2.69
RM-12,MUNJALAU,2026-07-06,99.39,1006,99986.34,101.53,TIME_EXIT,2152.84,2.15
RM-12,PANSARI,2026-07-06,317.05,315,99870.75,355.1,TARGET_HIT,11984.49,12.0
RM-12,RAYMONDREL,2026-07-08,667.4,149,99442.6,697.7,TIME_EXIT,4514.7,4.54
RM-12,RKSWAMY,2026-07-06,106.22,941,99953.02,102.51,TIME_EXIT,-3491.11,-3.49
RM-12,SHIVAUM,2026-07-07,400.0,250,100000.0,435.0,TIME_EXIT,8750.0,8.75
RM-12,SYRMA,2026-07-06,1379.0,72,99288.0,1407.8,TIME_EXIT,2073.6,2.09
RM-12,WELCORP,2026-07-06,1425.0,70,99750.0,1596.0,TARGET_HIT,11970.0,12.0
