rsi_min,rsi_max,vol_min,dip_min,dip_max,ma20_mult,slope_min,adx_min,roc_10_min,cci_20_min,macd_hist_min,atr_pct_max,trades,win_rate,avg_pct,targets,stops,times
48,65,0.8,-15,-5,0.96,0.0,20,,,,,26,61.53846153846154,2.6129881333957363,7,6,13
48,65,0.8,-15,-5,0.96,0.0,20,,,,5.0,20,65.0,2.493682094075613,5,4,11
48,65,0.8,-15,-5,0.96,0.0,20,,,,4.0,11,72.72727272727273,3.045565693605242,3,2,6
48,65,0.8,-15,-5,0.96,0.0,20,,,-0.5,,12,66.66666666666666,4.843652446866882,5,2,5
48,65,0.8,-15,-5,0.96,0.0,20,,,-0.5,5.0,9,55.55555555555556,2.8193143736002844,3,2,4
48,65,0.8,-15,-5,0.96,0.0,20,,,-0.5,4.0,4,50.0,2.999999999999999,2,2,0
48,65,0.8,-15,-5,0.96,0.0,20,,,0.0,,10,60.0,4.941241999131053,4,1,5
48,65,0.8,-15,-5,0.96,0.0,20,,,0.0,5.0,6,50.0,2.870115870436424,2,1,3
48,65,0.8,-15,-5,0.96,0.0,20,,,0.0,4.0,2,50.0,3.0000000000000027,1,1,0
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,,,19,57.89473684210527,2.869733805139988,6,5,8
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,,5.0,13,61.53846153846154,2.8046840546832987,4,3,6
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,,4.0,6,66.66666666666666,4.348078909838049,3,2,1
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,-0.5,,12,66.66666666666666,4.843652446866882,5,2,5
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,-0.5,5.0,9,55.55555555555556,2.8193143736002844,3,2,4
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,-0.5,4.0,4,50.0,2.999999999999999,2,2,0
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,0.0,,10,60.0,4.941241999131053,4,1,5
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,0.0,5.0,6,50.0,2.870115870436424,2,1,3
48,65,0.8,-15,-5,0.96,0.0,20,,0.0,0.0,4.0,2,50.0,3.0000000000000027,1,1,0
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,,,13,69.23076923076923,4.7017245578349725,5,2,6
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,,5.0,9,66.66666666666666,3.819157694650513,3,1,5
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,,4.0,3,66.66666666666666,6.000000000000007,2,1,0
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,-0.5,,10,70.0,5.212382936240259,4,1,5
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,-0.5,5.0,7,57.14285714285714,2.7676899089146523,2,1,4
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,-0.5,4.0,2,50.0,3.0000000000000027,1,1,0
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,0.0,,10,60.0,4.941241999131053,4,1,5
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,0.0,5.0,6,50.0,2.870115870436424,2,1,3
48,65,0.8,-15,-5,0.96,0.0,20,,40.0,0.0,4.0,2,50.0,3.0000000000000027,1,1,0
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,,,8,62.5,4.904872360096359,3,1,4
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,-0.5,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,-0.5,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,-0.5,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,0.0,,7,71.42857142857143,6.462711268681553,3,0,4
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,0.0,5.0,3,66.66666666666666,4.349084704026293,1,0,2
48,65,0.8,-15,-5,0.96,0.0,20,,60.0,0.0,4.0,0,0.0,0.0,0,0,0
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,,,13,76.92307692307693,5.257807783624626,5,1,7
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,,5.0,9,77.77777777777779,4.254161288927026,3,1,5
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,,4.0,3,100.0,8.696157819676104,2,0,1
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,-0.5,,8,87.5,7.493798531482868,4,0,4
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,-0.5,5.0,5,80.0,5.440077650372584,2,0,3
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,-0.5,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,0.0,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,20,0.0,,0.0,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,,,13,76.92307692307693,5.257807783624626,5,1,7
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,,5.0,9,77.77777777777779,4.254161288927026,3,1,5
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,,4.0,3,100.0,8.696157819676104,2,0,1
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,-0.5,,8,87.5,7.493798531482868,4,0,4
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,-0.5,5.0,5,80.0,5.440077650372584,2,0,3
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,-0.5,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,0.0,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,20,0.0,0.0,0.0,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,,,10,90.0,7.4948978141315,5,0,5
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,,5.0,7,85.71428571428571,6.028425448759282,3,0,4
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,,4.0,2,100.0,12.000000000000018,2,0,0
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,-0.5,,8,87.5,7.493798531482868,4,0,4
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,-0.5,5.0,5,80.0,5.440077650372584,2,0,3
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,-0.5,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,0.0,,8,75.0,7.154872360096361,4,0,4
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,0.0,5.0,4,75.0,6.261813528019724,2,0,2
48,65,0.8,-15,-5,0.96,0.0,20,0.0,40.0,0.0,4.0,1,100.0,12.000000000000016,1,0,0
48,65,0.8,-15,-5,0.96,0.0,20,0.0,60.0,,,7,71.42857142857143,6.462711268681553,3,0,4
