ret_20d_min,rsi_min,rsi_max,vol_min,dip_min,dip_max,ut_gate,ma20_mult,adx_min,macd_hist_pos,trades,win_rate,avg_pct,targets,stops,times
10,45,60,0.7,-12,-5,False,,,False,90,43.333333333333336,0.669084797323636,23,46,21
10,45,60,0.7,-12,-5,False,,,True,51,41.17647058823529,0.3708843221870426,12,27,12
10,45,60,0.7,-12,-5,False,,18.0,False,58,51.724137931034484,2.226024867530082,20,23,15
10,45,60,0.7,-12,-5,False,,18.0,True,27,55.55555555555556,3.015660698781173,10,9,8
10,45,60,0.7,-12,-5,False,,22.0,False,54,53.70370370370371,2.3771630656152065,19,22,13
10,45,60,0.7,-12,-5,False,,22.0,True,24,58.333333333333336,3.1116750872320025,9,9,6
10,45,60,0.7,-12,-5,False,0.94,,False,90,43.333333333333336,0.669084797323636,23,46,21
10,45,60,0.7,-12,-5,False,0.94,,True,51,41.17647058823529,0.3708843221870426,12,27,12
10,45,60,0.7,-12,-5,False,0.94,18.0,False,58,51.724137931034484,2.226024867530082,20,23,15
10,45,60,0.7,-12,-5,False,0.94,18.0,True,27,55.55555555555556,3.015660698781173,10,9,8
10,45,60,0.7,-12,-5,False,0.94,22.0,False,54,53.70370370370371,2.3771630656152065,19,22,13
10,45,60,0.7,-12,-5,False,0.94,22.0,True,24,58.333333333333336,3.1116750872320025,9,9,6
10,45,60,0.7,-12,-5,False,0.96,,False,89,42.69662921348314,0.5417711433609801,22,46,21
10,45,60,0.7,-12,-5,False,0.96,,True,51,41.17647058823529,0.3708843221870426,12,27,12
10,45,60,0.7,-12,-5,False,0.96,18.0,False,58,51.724137931034484,2.226024867530082,20,23,15
10,45,60,0.7,-12,-5,False,0.96,18.0,True,27,55.55555555555556,3.015660698781173,10,9,8
10,45,60,0.7,-12,-5,False,0.96,22.0,False,54,53.70370370370371,2.3771630656152065,19,22,13
10,45,60,0.7,-12,-5,False,0.96,22.0,True,24,58.333333333333336,3.1116750872320025,9,9,6
10,45,60,0.7,-12,-5,True,,,False,3,33.33333333333333,-1.0833333333333381,0,2,1
10,45,60,0.7,-12,-5,True,,,True,1,100.0,8.75,0,0,1
10,45,60,0.7,-12,-5,True,,18.0,False,3,33.33333333333333,-1.0833333333333381,0,2,1
