ret_20d_min,rsi_min,rsi_max,vol_min,dip_min,dip_max,adx_min,st_dir_up,cmf_min,body_pct_min,stoch_k_max,ut_gate,trades,win_rate,avg_pct,targets,stops,times
10,45,60,0.7,-10,-5,15,False,,,,False,49,57.14285714285714,2.9744116785642296,19,18,12
10,45,60,0.7,-10,-5,15,False,,,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,,,60.0,False,34,58.82352941176471,3.329666025092241,14,12,8
10,45,60,0.7,-10,-5,15,False,,,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,,,70.0,False,45,60.0,3.4530973607699833,19,15,11
10,45,60,0.7,-10,-5,15,False,,,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,,0.3,,False,49,57.14285714285714,2.9744116785642296,19,18,12
10,45,60,0.7,-10,-5,15,False,,0.3,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,,0.3,60.0,False,34,58.82352941176471,3.329666025092241,14,12,8
10,45,60,0.7,-10,-5,15,False,,0.3,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,,0.3,70.0,False,45,60.0,3.4530973607699833,19,15,11
10,45,60,0.7,-10,-5,15,False,,0.3,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,,0.5,,False,49,57.14285714285714,2.9744116785642296,19,18,12
10,45,60,0.7,-10,-5,15,False,,0.5,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,,0.5,60.0,False,34,58.82352941176471,3.329666025092241,14,12,8
10,45,60,0.7,-10,-5,15,False,,0.5,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,,0.5,70.0,False,45,60.0,3.4530973607699833,19,15,11
10,45,60,0.7,-10,-5,15,False,,0.5,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,,,False,38,60.526315789473685,3.269356202793706,15,13,10
10,45,60,0.7,-10,-5,15,False,-0.05,,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,,60.0,False,26,61.53846153846154,3.6935130726383534,11,8,7
10,45,60,0.7,-10,-5,15,False,-0.05,,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,,70.0,False,34,64.70588235294117,3.9376101379753776,15,10,9
10,45,60,0.7,-10,-5,15,False,-0.05,,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,0.3,,False,38,60.526315789473685,3.269356202793706,15,13,10
10,45,60,0.7,-10,-5,15,False,-0.05,0.3,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,0.3,60.0,False,26,61.53846153846154,3.6935130726383534,11,8,7
10,45,60,0.7,-10,-5,15,False,-0.05,0.3,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,0.3,70.0,False,34,64.70588235294117,3.9376101379753776,15,10,9
10,45,60,0.7,-10,-5,15,False,-0.05,0.3,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,0.5,,False,38,60.526315789473685,3.269356202793706,15,13,10
10,45,60,0.7,-10,-5,15,False,-0.05,0.5,,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,0.5,60.0,False,26,61.53846153846154,3.6935130726383534,11,8,7
10,45,60,0.7,-10,-5,15,False,-0.05,0.5,60.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,-0.05,0.5,70.0,False,34,64.70588235294117,3.9376101379753776,15,10,9
10,45,60,0.7,-10,-5,15,False,-0.05,0.5,70.0,True,1,0.0,-6.000000000000009,0,1,0
10,45,60,0.7,-10,-5,15,False,0.0,,,False,35,60.0,3.035301020176024,13,12,10
