Date,Rank,Symbol,Sector,Previous Close (₹),Current Close (₹),Daily Gain (%),Volume,Value Traded (₹ Cr)
2026-03-20,1,GMDCLTD,Mining,534.15,575.7,7.78,"32,107,235",1848.41
2026-03-20,2,OLAELEC,EV/Auto,23.48,24.66,5.03,"51,124,656",126.07
2026-03-20,3,JAYNECOIND,Brokers,70.15,74.24,5.83,"6,742,536",50.06
2026-03-20,4,GOCOLORS,Paints,257.15,275.4,7.1,"495,661",13.65
2026-03-24,1,INDIGO,Aviation,3945.3,4150.8,5.21,"2,152,981",893.66
2026-03-24,2,AEROFLEX,Aerospace,223.29,252.09,12.9,"7,289,255",183.75
2026-03-24,3,FORCEMOT,Auto,20395.0,21485.0,5.34,"77,009",165.45
2026-03-24,4,APOLLO,Pharma,188.72,199.73,5.83,"6,923,872",138.29
2026-03-24,5,PARAS,Defence,584.6,619.4,5.95,"954,122",59.1
2026-03-25,1,KAYNES,Auto,3514.3,3717.9,5.79,"2,875,320",1069.02
2026-03-25,2,MUTHOOTFIN,NBFC,3128.74,3292.36,5.23,"1,080,479",355.73
2026-03-25,3,KALYANKJIL,Jewellery,371.7,391.85,5.42,"7,261,892",284.56
2026-03-25,4,RPOWER,Power,21.4,22.67,5.93,"95,720,941",217.0
2026-03-25,5,STLTECH,Defence/IT,180.02,192.63,7.0,"8,319,577",160.26
2026-03-25,6,MOTILALOFS,Brokers,649.55,684.2,5.33,"2,005,042",137.18
2026-03-25,7,LLOYDSENGG,Capital Goods,39.04,41.88,7.27,"23,357,988",97.82
2026-03-27,1,APARINDS,Auto,10014.0,10608.0,5.93,"312,781",331.8
2026-04-01,1,GRSE,Defence,1972.8,2359.3,19.59,"9,291,894",2192.24
2026-04-01,2,INDIGO,Aviation,3943.5,4180.8,6.02,"4,361,610",1823.5
2026-04-01,3,COCHINSHIP,Defence,1193.1,1338.6,12.2,"8,012,279",1072.52
2026-04-01,4,HAL,Defence,3487.2,3670.8,5.26,"2,246,768",824.74
2026-04-01,5,OLAELEC,EV/Auto,22.8,25.89,13.55,"247,154,058",639.88
2026-04-01,6,TRENT,Retail,2193.96,2347.53,7.0,"2,443,438",573.6
2026-04-01,7,BDL,Defence,1096.6,1203.9,9.78,"4,217,920",507.8
2026-04-01,8,FORCEMOT,Auto,19405.0,20733.0,6.84,"96,925",200.95
2026-04-01,9,RPOWER,Power,20.36,22.35,9.77,"78,570,171",175.6
2026-04-01,10,APOLLO,Pharma,182.16,195.77,7.47,"8,336,691",163.21
2026-04-02,1,OLAELEC,EV/Auto,25.89,28.34,9.46,"456,246,744",1293.0
2026-04-02,2,COFORGE,IT,1153.9,1213.4,5.16,"6,403,645",777.02
2026-04-02,3,JAYNECOIND,Brokers,75.01,78.99,5.31,"6,890,440",54.43
2026-04-06,1,TRENT,Retail,2363.57,2551.96,7.97,"7,316,710",1867.2
2026-04-06,2,KALYANKJIL,Jewellery,394.35,420.35,6.59,"12,249,798",514.92
2026-04-06,3,NEULANDLAB,Other,12433.0,13222.0,6.35,"161,018",212.9
2026-04-06,4,STLTECH,Defence/IT,177.83,188.35,5.92,"7,839,068",147.65
2026-04-08,1,ICICIBANK,Bank,1245.5,1309.2,5.11,"25,148,651",3292.46
2026-04-08,2,INDIGO,Aviation,4268.8,4615.5,8.12,"5,538,528",2556.31
2026-04-08,3,MARUTI,Auto,12798.0,13602.0,6.28,"1,026,292",1395.96
2026-04-08,4,M&M,Auto,3006.6,3210.1,6.77,"4,227,961",1357.22
2026-04-08,5,FORCEMOT,Auto,19920.0,22075.0,10.82,"380,174",839.23
2026-04-08,6,GRSE,Defence,2305.3,2477.4,7.47,"3,031,579",751.04
2026-04-08,7,EICHERMOT,Auto,6605.5,7131.0,7.96,"917,337",654.15
2026-04-08,8,KALYANKJIL,Jewellery,414.35,445.55,7.53,"10,391,357",462.99
2026-04-08,9,MUTHOOTFIN,NBFC,3214.22,3473.93,8.08,"1,290,282",448.23
2026-04-08,10,BAJAJFINSV,Financials,1684.4,1784.6,5.95,"2,059,323",367.51
2026-04-09,1,OLAELEC,EV/Auto,30.27,36.32,19.99,"786,402,928",2856.22
2026-04-09,2,APOLLO,Pharma,208.05,232.52,11.76,"50,987,271",1185.56
2026-04-09,3,ATHERENERG,Renewables,770.7,820.25,6.43,"8,948,018",733.96
2026-04-09,4,HFCL,Telecom/IT Infra,75.17,79.61,5.91,"77,596,073",617.74
2026-04-09,5,STLTECH,Defence/IT,200.51,220.56,10.0,"14,142,781",311.93
2026-04-13,1,ATHERENERG,Renewables,863.05,907.85,5.19,"27,333,392",2481.46
2026-04-13,2,NTPCGREEN,Power,97.17,104.23,7.27,"91,182,889",950.4
2026-04-13,3,NIACL,Insurance,155.71,171.67,10.25,"29,343,939",503.75
2026-04-13,4,JAYNECOIND,Brokers,81.69,87.11,6.63,"15,791,194",137.56
2026-04-15,1,NETWEB,IT Services,3309.4,3563.7,7.68,"3,228,438",1150.52
2026-04-15,2,RPOWER,Power,26.11,28.94,10.84,"250,087,845",723.75
2026-04-15,3,PARAS,Defence,705.9,754.85,6.93,"3,850,875",290.68
2026-04-15,4,NEWGEN,Software,445.15,472.8,6.21,"4,015,524",189.85
2026-04-15,5,JAYNECOIND,Brokers,87.11,91.64,5.2,"13,374,874",122.57
2026-04-15,6,LLOYDSENGG,Capital Goods,48.77,51.77,6.15,"6,050,881",31.33
2026-04-16,1,GMDCLTD,Mining,622.3,746.75,20.0,"51,557,208",3850.03
2026-04-16,2,JAYNECOIND,Brokers,91.64,98.7,7.7,"20,177,670",199.15
2026-04-17,1,APOLLO,Pharma,242.17,282.9,16.82,"53,344,279",1509.11
2026-04-17,2,OLAELEC,EV/Auto,38.68,40.82,5.53,"351,314,724",1434.07
2026-04-17,3,AEROFLEX,Aerospace,296.23,311.23,5.06,"5,323,968",165.7
2026-04-20,1,JYOTICNC,Auto,707.3,743.45,5.11,"8,578,450",637.76
2026-04-21,1,MASTEK,IT,1682.9,1768.3,5.07,"182,647",32.3
2026-04-22,1,RPOWER,Power,28.35,30.25,6.7,"130,508,684",394.79
2026-04-22,2,AEROFLEX,Aerospace,289.11,304.52,5.33,"3,362,999",102.41
2026-04-22,3,LLOYDSENGG,Capital Goods,55.92,59.07,5.63,"16,054,819",94.84
2026-04-27,1,SUNPHARMA,Pharma,1620.4,1733.5,6.98,"26,995,361",4679.65
2026-04-27,2,APOLLO,Pharma,283.9,301.19,6.09,"26,167,705",788.15
2026-04-27,3,HFCL,Telecom/IT Infra,100.22,106.69,6.46,"54,279,670",579.11
2026-04-27,4,ATHERENERG,Renewables,883.0,941.2,6.59,"4,710,737",443.37
2026-04-27,5,JAYNECOIND,Brokers,95.78,104.05,8.63,"38,059,284",396.01
2026-04-27,6,NTPCGREEN,Power,110.31,118.86,7.75,"30,036,760",357.02
2026-04-27,7,NEWGEN,Software,462.75,491.55,6.22,"3,995,896",196.42
2026-04-27,8,APARINDS,Auto,11532.0,12135.0,5.23,"133,569",162.09
2026-04-27,9,AEROFLEX,Aerospace,277.87,294.9,6.13,"3,333,027",98.29
2026-04-27,10,BBOX,IT/IoT,550.1,579.65,5.37,"1,006,912",58.37
2026-04-28,1,BBOX,IT/IoT,579.65,639.85,10.39,"8,016,542",512.94
2026-04-28,2,JAYNECOIND,Brokers,104.05,109.81,5.54,"21,294,552",233.84
2026-04-29,1,GRSE,Defence,2875.3,3072.7,6.87,"17,027,141",5231.93
2026-04-30,1,HFCL,Telecom/IT Infra,107.1,116.03,8.34,"234,723,195",2723.49
2026-04-30,2,NEWGEN,Software,480.15,505.75,5.33,"12,685,665",641.58
2026-05-04,1,HFCL,Telecom/IT Infra,116.03,126.04,8.63,"180,555,133",2275.72
2026-05-04,2,HAL,Defence,4338.8,4559.5,5.09,"2,841,170",1295.43
2026-05-04,3,NEULANDLAB,Other,15003.0,16124.0,7.47,"208,282",335.83
2026-05-05,1,NETWEB,IT Services,3927.7,4178.1,6.38,"3,065,109",1280.63
2026-05-05,2,BBOX,IT/IoT,661.3,701.95,6.15,"1,680,098",117.93
2026-05-05,3,AEROFLEX,Aerospace,302.35,318.05,5.19,"3,303,048",105.05
2026-05-06,1,COFORGE,IT,1168.8,1280.4,9.55,"26,656,460",3413.09
2026-05-06,2,HFCL,Telecom/IT Infra,128.77,141.46,9.85,"167,554,753",2370.23
2026-05-06,3,INDIGO,Aviation,4238.4,4520.2,6.65,"2,657,960",1201.45
2026-05-06,4,FORCEMOT,Auto,18963.0,20173.0,6.38,"256,402",517.24
2026-05-06,5,CARTRADE,Internet/Auto,1645.6,1807.3,9.83,"2,276,391",411.41
2026-05-06,6,AEROFLEX,Aerospace,318.05,344.7,8.38,"10,678,433",368.09
2026-05-06,7,NEULANDLAB,Other,16204.0,17032.0,5.11,"106,686",181.71
2026-05-06,8,TARSONS,Lab Equipment,215.7,228.26,5.82,"184,294",4.21
2026-05-07,1,CARTRADE,Internet/Auto,1807.3,1921.8,6.34,"5,497,004",1056.41
2026-05-07,2,AEROFLEX,Aerospace,344.7,413.6,19.99,"18,954,871",783.97
2026-05-07,3,PARAS,Defence,805.1,869.5,8.0,"5,329,874",463.43
2026-05-07,4,LLOYDSENGG,Capital Goods,57.97,61.27,5.69,"15,751,284",96.51
2026-05-08,1,COFORGE,IT,1285.3,1368.1,6.44,"9,375,709",1282.69
2026-05-08,2,NUVAMA,Brokers,1460.53,1616.04,10.65,"5,943,190",960.45
2026-05-08,3,AEROFLEX,Aerospace,413.6,439.35,6.23,"18,112,356",795.77
2026-05-11,1,HFCL,Telecom/IT Infra,141.15,148.46,5.18,"112,674,256",1672.76
2026-05-11,2,ATHERENERG,Renewables,915.05,969.45,5.95,"13,473,062",1306.15
2026-05-11,3,LLOYDSENGG,Capital Goods,62.87,66.16,5.23,"26,471,055",175.13
2026-05-11,4,BBOX,IT/IoT,748.4,788.1,5.3,"2,113,955",166.6
2026-05-12,1,BBOX,IT/IoT,788.1,829.15,5.21,"10,494,889",870.18
2026-05-13,1,NIACL,Insurance,159.64,168.08,5.29,"4,243,831",71.33
2026-05-14,1,BHARTIARTL,Telecom,1789.2,1883.5,5.27,"21,279,151",4007.93
2026-05-14,2,TATACOMM,Telecom,1558.8,1656.1,6.24,"1,323,852",219.24
2026-05-19,1,APOLLO,Pharma,311.0,340.7,9.55,"114,856,385",3913.16
2026-05-19,2,IDBI,PSU Bank,69.5,73.56,5.84,"17,526,384",128.92
2026-05-19,3,MASTEK,IT,1552.0,1660.9,7.02,"193,781",32.19
2026-05-20,1,TATACOMM,Telecom,1646.6,1775.6,7.83,"3,191,014",566.6
2026-05-21,1,KAYNES,Auto,3001.0,3174.9,5.79,"2,230,040",708.02
2026-05-21,2,TATACOMM,Telecom,1775.6,1896.3,6.8,"1,722,042",326.55
2026-05-21,3,GOCOLORS,Paints,254.4,301.45,18.49,"8,323,686",250.92
2026-05-22,1,AEROFLEX,Aerospace,379.95,403.05,6.08,"3,582,977",144.41
2026-05-27,1,HFCL,Telecom/IT Infra,161.8,173.92,7.49,"79,961,509",1390.69
2026-05-27,2,NETWEB,IT Services,3851.7,4072.0,5.72,"1,579,910",643.34
2026-05-27,3,APARINDS,Auto,12536.0,13426.0,7.1,"241,856",324.72
2026-05-29,1,NETWEB,IT Services,4072.0,4670.7,14.7,"10,623,544",4961.94
