SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,snapshot_dt
TITAN,EQ,2607,2616,2556.8,2565.75,2565.35,2597.5,697408,1799962334,02-Jan-23,48764,02/01/23
TITAN,EQ,2568,2619,2555.05,2613.6,2618.8,2565.75,852511,2207855165,03-Jan-23,56038,03/01/23
TITAN,EQ,2618.8,2626.25,2585.6,2597.55,2592,2613.6,832054,2163576009,04-Jan-23,52788,04/01/23
TITAN,EQ,2591,2620,2543.65,2562.1,2565.2,2597.55,1544601,3975496531,05-Jan-23,103786,05/01/23
TITAN,EQ,2560,2584.4,2517,2538.1,2537,2562.1,879019,2232792969,06-Jan-23,63800,06/01/23
TITAN,EQ,2529.95,2529.95,2467.8,2484.65,2489.95,2538.1,2324487,5785572657,09-Jan-23,165642,09/01/23
TITAN,EQ,2495,2498.7,2456,2468.2,2464.5,2484.65,948787,2348082026,10-Jan-23,74548,10/01/23
TITAN,EQ,2473,2488.6,2431,2437.4,2434.95,2468.2,1000412,2453831164,11-Jan-23,95386,11/01/23
TITAN,EQ,2450,2475,2432,2446.6,2445,2437.4,874520,2141772012,12-Jan-23,66156,12/01/23
TITAN,EQ,2456.9,2456.9,2400,2417.2,2420,2446.6,1416869,3425182190,13-Jan-23,83190,13/01/23
TITAN,EQ,2428,2434.8,2392,2405.85,2401.25,2417.2,737012,1772467938,16-Jan-23,55159,16/01/23
TITAN,EQ,2405,2417.9,2386,2407.95,2409.95,2405.85,926137,2224336330,17-Jan-23,64307,17/01/23
TITAN,EQ,2418,2429.85,2412.8,2424.1,2424.4,2407.95,601233,1456075594,18-Jan-23,47336,18/01/23
TITAN,EQ,2392.5,2411.8,2367.2,2385.05,2386,2424.1,1116874,2667832481,19-Jan-23,75874,19/01/23
TITAN,EQ,2389.95,2396.95,2353,2371.3,2374,2385.05,1229902,2917843629,20-Jan-23,84004,20/01/23
TITAN,EQ,2383.95,2384.3,2355.6,2364.7,2358.65,2371.3,932554,2205702736,23-Jan-23,86801,23/01/23
TITAN,EQ,2372.5,2390.6,2364,2370.75,2370,2364.7,714000,1698100471,24-Jan-23,61807,24/01/23
TITAN,EQ,2370,2370,2333.55,2356.6,2370,2370.75,650664,1530160774,25-Jan-23,55389,25/01/23
TITAN,EQ,2368.4,2368.4,2302.6,2331.25,2332,2356.6,1238620,2881580876,27-Jan-23,122600,27/01/23
TITAN,EQ,2332,2342.85,2287.05,2335.55,2340,2331.25,1401847,3246381011,30-Jan-23,120736,30/01/23
TITAN,EQ,2347,2386.45,2335.65,2377.15,2383,2335.55,1252600,2966030261,31-Jan-23,90793,31/01/23
TITAN,EQ,2408.55,2409.8,2300.05,2345.9,2345,2377.15,1521514,3595890169,01-Feb-23,103902,01/02/23
TITAN,EQ,2341.05,2385,2269.6,2308.1,2325,2345.9,1788381,4178441161,02-Feb-23,114317,02/02/23
TITAN,EQ,2320.1,2470,2320.1,2463.1,2458.3,2308.1,3693638,8958363286,03-Feb-23,205942,03/02/23
TITAN,EQ,2474.85,2479.95,2447.6,2458,2456.3,2463.1,1049075,2582897642,06-Feb-23,97074,06/02/23
TITAN,EQ,2456.3,2459.75,2432.1,2446.9,2449.05,2458,563195,1376846503,07-Feb-23,55199,07/02/23
TITAN,EQ,2447,2480,2447,2466.75,2463.55,2446.9,539085,1330286215,08-Feb-23,40830,08/02/23
TITAN,EQ,2467,2475.65,2451.6,2462.55,2465.5,2466.75,464715,1145178445,09-Feb-23,51574,09/02/23
TITAN,EQ,2452,2472,2442.05,2468.5,2470.5,2462.55,597337,1468479559,10-Feb-23,59950,10/02/23
TITAN,EQ,2480,2523.95,2476.15,2519.05,2519.75,2468.5,1856317,4663906619,13-Feb-23,102878,13/02/23
TITAN,EQ,2528.95,2528.95,2480,2506.9,2507.05,2519.05,843477,2111630051,14-Feb-23,76561,14/02/23
TITAN,EQ,2503.45,2528.25,2483.3,2524.3,2527,2506.9,707224,1776994430,15-Feb-23,50310,15/02/23
TITAN,EQ,2530,2545.65,2518.1,2522.4,2521,2524.3,704946,1785297204,16-Feb-23,46977,16/02/23
TITAN,EQ,2515,2545.85,2496,2500.3,2500,2522.4,607239,1527285030,17-Feb-23,41495,17/02/23
TITAN,EQ,2500,2507.25,2466.3,2474.15,2478,2500.3,460090,1143294476,20-Feb-23,36989,20/02/23
TITAN,EQ,2485.95,2485.95,2450.5,2463.6,2466,2474.15,750272,1847250224,21-Feb-23,61020,21/02/23
TITAN,EQ,2451.95,2462.8,2414.4,2431.55,2429.95,2463.6,1098118,2671366573,22-Feb-23,92879,22/02/23
TITAN,EQ,2432.5,2432.5,2380,2394.5,2392,2431.55,1602078,3847716961,23-Feb-23,104103,23/02/23
TITAN,EQ,2400,2413.75,2377.95,2399.1,2397.05,2394.5,1145691,2738733983,24-Feb-23,59118,24/02/23
TITAN,EQ,2399.1,2412,2373.6,2401,2402.6,2399.1,862629,2064830020,27-Feb-23,56043,27/02/23
TITAN,EQ,2401.1,2425,2363.6,2372.8,2370,2401,1430349,3422412965,28-Feb-23,61885,28/02/23
TITAN,EQ,2370,2396.05,2366.35,2382.4,2383.5,2372.8,479935,1144193522,01-Mar-23,48640,01/03/23
TITAN,EQ,2382.35,2394.3,2351.75,2358.95,2360,2382.4,529609,1252643414,02-Mar-23,61004,02/03/23
TITAN,EQ,2370,2402,2358.3,2396.1,2400,2358.95,710845,1698868273,03-Mar-23,71426,03/03/23
TITAN,EQ,2412.55,2426.4,2392.6,2403.45,2403.4,2396.1,682556,1643170183,06-Mar-23,65316,06/03/23
TITAN,EQ,2396.4,2401.2,2372.25,2397.1,2397,2403.45,858496,2048173197,08-Mar-23,76548,08/03/23
TITAN,EQ,2400.8,2407.95,2365,2368.25,2365,2397.1,601071,1430692247,09-Mar-23,51155,09/03/23
TITAN,EQ,2354.85,2379.95,2338,2375.5,2376.55,2368.25,543004,1280961342,10-Mar-23,63203,10/03/23
TITAN,EQ,2372.75,2376.95,2321,2332,2339.95,2375.5,631722,1481067191,13-Mar-23,60325,13/03/23
TITAN,EQ,2336.95,2391.85,2328.85,2355.6,2361,2332,1470817,3469318325,14-Mar-23,113287,14/03/23
TITAN,EQ,2380,2413.85,2379.95,2399.1,2400,2355.6,1656307,3972587503,15-Mar-23,89980,15/03/23
