SYMBOL,Total Profit (₹),Trades
BAJFINANCE,57658.808680334536,17
BAJAJ-AUTO,57376.55750253226,20
INDUSINDBK,54712.78156493595,19
TCS,46696.12165690551,16
HEROMOTOCO,43845.34304041471,23
ULTRACEMCO,42519.69671124875,17
LTIM,40278.64672094117,19
BAJAJFINSV,39804.50380209712,22
GRASIM,36130.083380503296,15
NTPC,35009.88228270684,17
DRREDDY,34256.257582600374,24
HDFCLIFE,32578.806743573026,24
SBIN,31707.422475817468,17
HCLTECH,30149.84808729624,23
EICHERMOT,29195.9391932247,23
SBILIFE,28783.040964158812,18
TATACONSUM,28369.24694253748,24
TATAMOTORS,27552.23853639148,10
POWERGRID,26859.09268185232,14
HINDALCO,25831.835805088034,20
DIVISLAB,25784.92908304078,17
AXISBANK,24209.124609511106,14
ONGC,23268.594734658953,18
SUNPHARMA,23058.52487791505,18
KOTAKBANK,22988.060921048065,14
INFY,22254.559650156276,16
LT,19190.548157191042,14
MARUTI,18685.70262020647,20
ADANIENT,15642.486482568787,16
ICICIBANK,15461.991102847343,18
ASIANPAINT,14023.209078367257,22
NESTLEIND,13829.561808298316,13
RELIANCE,13615.345897149102,23
WIPRO,13468.39889039105,13
TATASTEEL,12910.304540209145,17
CIPLA,12673.56618639444,17
BRITANNIA,12275.119036547778,19
TITAN,9924.704481664385,19
HDFCBANK,9079.836039333255,15
ITC,8644.881982196015,21
TECHM,7940.049923759802,13
BHARTIARTL,6694.729043482926,24
COALINDIA,6488.234171515717,13
HINDUNILVR,5215.138358090212,18
BPCL,1561.0224764029713,23
APOLLOHOSP,-1906.8564190473871,14
JSWSTEEL,-10548.305329470395,13
